Emotion,Text
happy,"I am pleased that there has been a threefold increase in , for example , HRT prescriptions during the past 10 years . "
happy,"Many Labour MPs could not hide their glee at the SNP 's action , such is their antipathy to cross-party co-operation . "
shame,"But by being ashamed of who they are , they 're making it harder for other people to accept them . "" "
shame,"As Koons shows the photos to me during an interview in his Greenwich Village apartment , I feel embarrassed for him . "
sad,Darby was momentarily crestfallen before saying : ` I still think it 's an office you need to find .
fear,Lily shot a quick horrified look up and down the road .
shame,"The station was crowded and he was horribly ashamed of his nakedness , but all his clothes were on the train . "
surprise,"Schellenberg went out , closing the door , feeling totally bewildered . "
happy,Now that he was committed to a course of action he felt exhilarated .
surprise,"She looked stunned , almost like a sleepwalker . "
anger,"The Lancashire members were furious when they heard that Gooch and the other England selectors had axed Red Rose favourite Phil DeFreitas , preferring Essex pacemen Neil Foster and Mark Ilott . "
fear,"THE Italian writer Primo Levi died on 11 April 1987 , to the dismay of his readers . "
shame,"But by being ashamed of who they are , they 're making it harder for other people to accept them . "" "
disgust,"If you do feel revolted when you watch the patient eat , you should not feel guilty about it , but neither should you let yourself become irritable with the patient over it . "
anger,Michael Stein was trying unsuccessfully to calm an irate customer who was arguing about his bill .
shame,"They were very polite , but also very embarrassed . "
fear,"As Antoinette grew weaker , and left her bed hardly at all , she became frightened to be left alone . "
surprise,"` Can it really work ? "" enquired his startled colleague . "
disgust,"Evreux 's Communist mayor , Roland Plaisance , said he was `` revolted '' by the firing and praised Gaillot 's commitment to `` staying close to the poor and the excluded . ''"
disgust,Even in the 1930s the anti-Semitism of literary figures like Hilaire Belloc and G. K. Chesterton co-existed uneasily with their revulsion at the racial policies of the new Germany .
anger,"Darling Bob , do n't be cross if I have n't got it right , but is it one of your beloved American writers ? "
surprise,"She was astonished , and secretly pleased , that he had remembered her name . "
happy,"When she was ecstatic , and she was often ecstatic , ecstasy flew from her face like the sun from a mirror . "
shame,"` You 'll not be alone with him , Maggie , he 's got a sister , and in any case Mitch will be there , "" Richie muttered , red with embarrassment . "
surprise,"A delighted , if somewhat bewildered smile tugging at her own mouth , her eyes alight with laughter , she watched him melt into the crowds . "
fear,"She 's in a lot of pain , and is extremely anxious about her condition . "" "
sad,"The Denning family feel sad that , although Sharpness is still thriving , it 'll never be the busy port it once was . "
shame,"Almost shyly , almost ashamed of her superstitious fear , she touched her cold cheeks and nose with her stiff , ungloved fingers . "
surprise,"He seemed startled to see me as if applicants , once embarked on musical offices , rarely returned . "
sad,I 'm very miserable .
surprise,"Upon his arrival , he was nonplussed to find the yard and buildings deserted . "
shame,"They 're a bit embarrassed about us doing their work for them . "" "
surprise,He felt a mixture of astonishment at himself and irritation that his rigid daily routine was going to be broken after forty undisturbed years .
shame,Jenna 's face flushed with embarrassment at the way the girl watched in amused surprise .
disgust,"Then there was the American sprinter Jesse Owens , who swept to victory in the Berlin Olympic Games of 1936 , much to the disgruntlement of Hitler . "
shame,The bearers looked embarrassed and tried to get her to go .
surprise,"In her ` Daughter of Evil "" ( McShane , 1980 ) she stresses her own lifelong affection for her mother and her stunned reaction at being convicted and sentenced . "
shame,"Several of the men , though none of the women , made embarrassed noises of dissent . "
disgust,"Charles opened his eyes warily , disgruntled at being dragged out of his dream . "
sad,"` It is a long time since anyone cared for you as tonight you cared for Ana , is it not ? "" he asked softly , his hand coming to tilt her downcast face . "
sad,"For the owner , it can mean heartbreak at the loss of a family pet . "
happy,"Obviously , staff will be delighted that the appointment of a new Director has been made and sad that Tom has gone but it is the proposed reorganisation which will occupy the minds of most staff . "
fear,The only time I have ever been bitten was when running with a partner who was petrified of dogs .
happy,A smile of amusement played on his lips as he studied his unkempt prize .
disgust,"Such side-effects seem to be becoming increasingly common these days , and many patients are becoming disgruntled with these drugs and are seeking safer alternatives . "
anger,""" Do n't be cross with Jenny , "" James said almost reading her mind . "
disgust,He 'd play her along until she got fed-up and started making too many demands .
fear,"As the frightened boy bolted to Gooseneck 's side , there was a scream from Fishbane 's corner where an unwary Pole had reaped the consequences of turning her back to view the drama . "
disgust,"Homosexuality aroused revulsion in about a quarter of the respondents , another quarter seeing it as sick , odd or ridiculous . "
anger,"She was still mad at Lucy for something , and Lucy was sure that a little time and concentration would tell her what  but for the moment , somehow , the knowledge was just out of reach . "
fear,"His glance slid over to them , taking in the horrified Katarina surrounded by malicious-looking women . "
shame,"` I know what you mean , ma'am , "" said Rose gravely , enjoying himself immensely at the sight of Auguste 's embarrassed face . "
disgust,"A reader , disgruntled in large proportion , sat down to work out how much of his salary he would have to hand over to the Inland Revenue heavy mob for the past year . "
disgust,"You arrest somebody , maybe a drunk , the next day he 's feeling a little disgruntled and almost inevitably he 'll make a complaint "
surprise,"Julia , stunned but dry-eyed , had given her statement to the police . "
sad,The greatest cause of the Prince 's despondency had been the feeling that he served no useful purpose .
anger,But conservatives are also miffed about Foster 's long ties to the Planned Parenthood Federation of America and the fact that his teen-age pregnancy program dispenses contraceptives .
anger,They were exasperated and mystified .
happy,"Clattering on , trying to hold five ponies and eat an ice-cream , Perdita was not amused to hear whoops and noisy hooting behind her . "
fear,Richmond councillors are worried about plans to turn the old cinema on the Ryders Wynd/Queens Road junction into a DIY shop .
disgust,"But freer travel to the West , which is one of the benefits Bonn extracted , also increased disgruntlement with things at home . "
anger,"Some people simply were miffed by the red tape in applying for victim identification cards to qualify for the 100,000 yen ."
fear,Cleo stared at the contents with dismay .
happy,"Her expression became dreamy , ecstatic . "
disgust,Os Guinness has captured this middle-class revulsion against materialism and affluent decadence in his best-selling book The Dust of Death ( 1973 ) .
fear,The priest became agitated .
surprise,"He woke stupefied , flicking his tongue over his parched lips like a reptile . "
disgust,"I am sickened to now learn that the Government has acquiesced to the other EC leaders on this issue at the Edinburgh Summit and that , for the sake of subsidiarity , this directive has been dropped . "
disgust,"This ` instinctive revulsion from regulation "" is the foundation of his libertarian heritage and it gives rise to a particular vision of how broadcasting should develop and what its purposes should be . "
happy,"Perhaps only she knows the journey he has made , from the cocky Jack-the-lad who neglected the discipline of academic study for the raw excitement of Left-wing politics to the measured politician with an answer for everyone . "
happy,"That evening she felt no nervousness at all , just excitement , controlled excitement . "
anger,"Having already paid for my return ticket I was cross at having to buy another one , and even more upset at having to pay extra for the one-way ticket and convert sterling at an unfavourable rate . "
anger,"HELSINKI , Finland ( AP ) --- A Finnish orchestra on Friday completed recording a work by composer Jean Sibelius that vanished a century ago because he was miffed by criticism ."
fear,"Or was it just fear that paralysed her , like a frightened rabbit ? "
surprise,"She frowned , feeling slightly bewildered . "
anger,"However , in this case , the crowd was angry that extra time was not going to be played and vented their fury on the pitch and the police rather than on one another . "
happy,"He uttered a short sharp bark , which made Rosie jump ; she assumed it was a cough , then realised that it was intended as an expression of amusement . "
happy,"Robert Stephenson , when John met him after the week 's delay , was amused at the story of the Triumph of Rhyll . "
anger," He gets mad when Gary does n't sleep , he says it 's my fault , he says I make him do it  and   She stopped again . "
sad,"The tears came , and rapidly dissolved her angry expression to one of utter despair . "
shame,GRAHAM TAYLOR will defy the fury of a humiliated nation and risk his entire reputation on an England miracle in the next five months .
shame,I felt embarrassed at the prospect of meeting him .
surprise,Maggie was quite astonished at her own determination on that score .
sad,Nicky looked crestfallen but did not dare argue with Constance when she was in this mood .
sad,"Then , in response to my crestfallen look , he added kindly : ` Of course you did not look gay -- you 're no screaming queen -- but nevertheless I just knew . "" "
anger,Robbie 's exasperation found vent .
anger,"I told Dana I could no longer bear the atmosphere of the city , the right-wing bullies , the Falangists , the deadening work of teaching mostly bored and resentful students . "
shame,"Many solicitors never overcome their own embarrassment about the amount that they charge , though few go on to lower their fees . "
sad,"Only afterwards , when Tommy disappeared and Maudie seemed so heartbroken , then I began to wonder . "
sad,He was at the graveside looking mournful and interesting .
happy,"Li Yuan was smiling broadly , pleased with himself , proud of his scheme , and delighted that he had Tsu Ma 's approval . "
shame,But I 'm not ashamed of my body .
shame,Mum was so embarrassed !
happy,He 's just happy to get on with it .
fear,Stephen Spielberg says anxious parents should view it first .
disgust,"A RUSTY old gasometer which fed-up local residents want demolished because ` it 's a blot on the landscape "" has been compared to some of Italy 's most beautiful buildings . "
anger,"` I do n't ask about your private affairs , now do I ? "" he said , in a mildly affronted tone . "
sad,"She crammed more living into her 30 years than most people experience in two lifetimes , according to her heartbroken parents Ken and Diana . "
fear,"You could n't simply ignore the fact that he had sentenced you to death , but it was important to let him know that you were n't rattled . "
disgust,"The horse , having been abandoned in the traces for twenty-four hours , was utterly disgruntled . "
disgust,Even in the 1930s the anti-Semitism of literary figures like Hilaire Belloc and G. K. Chesterton co-existed uneasily with their revulsion at the racial policies of the new Germany .
fear,There was a nervous laugh at this topical sally provided by the Zola trial .
happy,Then in his foolish exhilaration he had leaped into a tree and spotted them with his binoculars .
shame,"` As I get older I think more and more of my stomach , and I 'm not ashamed to admit it . "
happy,I 'm delighted about that .
sad,Taheb 's face became sad .
happy,"Smiling across the room at Laura 's tall , slender figure , she added , ` Besides , everyone in your office was so pleased at your promotion . "
disgust,We were feeling rather disgruntled at how many good films we 'd obviously missed when a man came on to the stage to read the nominations for one of the categories .
happy,But some of the younger dons were ecstatic about the election .
disgust,"A RUSTY old gasometer which fed-up local residents want demolished because ` it 's a blot on the landscape "" has been compared to some of Italy 's most beautiful buildings . "
shame,"They are not for those who insist that learning must be a serious business and who would feel embarrassed to be caught reading a ` comic book "" . "
sad,"He was a man drowning his sorrows , he 'd decided . "
shame,He gets real humiliated and has to leave .
disgust,Sam was thoroughly disgruntled because the boy from the bistro had failed to appear .
surprise,His eyes flared over her astonished face .
fear,"He had taken an interest in the growing baby , and had become anxious about Jane 's health and safety , the way expectant fathers were supposed to . "
surprise,The girl looked startled .
sad,I feel really miserable to tell the truth .
sad,There was genuine sorrow in the producer 's voice .
surprise,"Lucy felt startled , but forced herself to remain calm . "
anger,Mayor 's chaplain Tony Rees was furious he had n't been refunded a 187 overpayment .
fear,"Nevertheless , even among non-abolitionists ( and across most of the political spectrum ) there has been grave disquiet about the state of the prisons . "
happy,"My Lord Mayor , I 'm delighted to have this opportunity to debate the Government 's health reforms again . "
disgust,`` I am outraged and revolted by the decision of my supervisors .
happy,She had smiled and raised rather amused brows at the stories that tumbled in then of Fergus 's progress .
happy,"For my part , I feel elated and close to tears . "
anger,"Barbarossa sent a mandate requiring Milan to give up her claims , but the Milanese consuls tore up the document , and the imperial ambassador fled an enraged crowd . "
shame,"` Oh , for God 's sake , "" Jack said with an embarrassed laugh . "
disgust,"However , I quite enjoyed describing the horrors of my creation , and shared with Edward Young , the architect , his revulsion for the hideous house , covered in peeling stucco , as chilling within as without . "
disgust,Even in the 1930s the anti-Semitism of literary figures like Hilaire Belloc and G. K. Chesterton co-existed uneasily with their revulsion at the racial policies of the new Germany .
happy,"There have been some most tempting glimpses of it when you have become excited about a design or angry with yourself for a failure to meet your own high standards . "" "
anger,"Why ever did he bother to write them out ? the landlady asked , gravely vexed and insulted . "
fear,"I used to stutter a lot in those days , I was a very frightened boy . "
fear,"Libel lawyers are nervous of the word "" lie "" because it implies that a person said something which he knew was untrue . "
surprise,Those new to the area were always astonished at the vivid crimson of the earth and buildings .
fear,"Nothing could wash away the beastliness of that house or the horror of the sight of Phyllis Henley 's body , but he felt the need to try . "
surprise,Joey seemed bewildered as he put one large hand on his mother 's shoulder .
sad,"Inevitably some become despondent , fearing they will never work again . "
sad,Peers expressed their sorrow at the news of the separation of the Prince and Princess of Wales after the Lord Chancellor Lord Mackay of Clashfern relayed the Prime Minister 's announcement to them .
happy,"However , I thought you might share my amusement at the thought of baked beans at a low tension ! "
shame,"I was mortified , because we did n't appear at the presentation ceremony and I did n't receive a medal as a memento of the occasion . "
shame,I 'm embarrassed for Blade .
disgust,It was done on the receivers orders to stop disgruntled workers taking demonstration vehicles from the site .
anger,His mounting anger was making his speech more and more incomprehensible through his stroke-stiffened mouth .
happy,One could get terribly ecstatic but that would be a dangerous thing to do .
shame,""" I felt mortified , but cushioned by the drink . "" "
happy,"In our elation there was some suspicion that our experience had been secret , adventurous , and unique . "
anger,"After a day or two , the owner became irked , and went to the airport to inspect his plane . "
shame,"As a friend of Linde 's , I was rather embarrassed , however , when I was later sent his paper by a scientific journal and asked whether it was suitable for publication . "
happy,I enjoyed his excitement with politics .
disgust,Mixed with his revulsion was also a tiny feeling of excitement .
fear,"Raising her eyes , she stared in rather horrified fascination at the opening door . "
sad,"During the days that followed Brackenbury 's hasty departure , Edward 's despondency increased . "
anger,"I am spell-bound by the sound of French , infuriated when I ca n't read it in the books I am given . "
happy,"Her elation took her into her clothes , back to the kitchen to leave Phoebe a scrawled memo , and out of the front door . "
surprise,"His voice was as sensual as raw silk , but when he saw her bewilderment his eyes drifted over to Mandy 's table . "
sad,"Britt is heartbroken that her eight-year marriage to toyboy husband ` Slim "" Jim McDonnell , 31 , is to end in divorce . "
happy,Tremayne was pink with gratification .
surprise,The man seemed stunned .
sad,"Her shoulders were slumped and she was walking slowly , looking depressed . "
anger,""" A little offended , Bagshot put the key in the lock and opened the door . "
anger,"She thought she had given him a very tricky word , one that he would n't yet have learned , and she was peeved that he had succeeded . "
sad,"Bert , a lanky , lugubrious individual , declined . "
happy,` His gratification was almost unbounded when on arriving at the Belts of the Murray he found not only numerous new Species but new forms of Birds .
surprise,A frown of exasperation lined her brow as she shook her dark head in bewilderment .
surprise,"The other side of the story is the pain felt by women when their children suffer , and their bewilderment when that suffering is self-inflicted . "
anger,"Perversely , she was cross with him for having survived when she had spent the weekend fretting . "
disgust,"But they were caught out when accounts assistant Anne Riley , disgruntled at being sacked , told chairman Douglas Bishop of their alleged antics . "
anger,She had been furious when she saw my mask was wet .
disgust,The disgruntlement among its two million members is almost palpable .
sad,The family are not downhearted ; they have made many people across the country aware of the Trust and their work .
happy,"You 're pleased about his engagement -- he told me that some time ago -- and you 've as good as admitted it tonight . "" "
fear,` You 're not just frightened for Lucy .
anger,"Agnes noted with alarm that a pink flush was suffusing Dorothy 's face , a sure sign of temper , and really , thought her loyal assistant , she had every right to be cross under the circumstances . "
happy,"At various periods in his life , he had felt contented , satisfied , angry -- certainly angry -- smug , remorseful , even guilty . "
anger,"Angry at being separated from Jeanne , Modigliani spent much of his time drinking in a windowless little bar where local artists met , where he drank and ran up debts . "
surprise,"Usually so mentally attuned , so aware of what she was thinking and feeling , he looked angry and nonplussed , unable to understand her withdrawal . "
shame,KATE went to work the next day rather ashamed of the absurdly flattering photo of herself which had made the gossip column of her daily paper .
anger,"In icy tones , the offended bureaucrat replied : ` For future reference , you will call me Mr Hooton , not Richard . "" "
disgust,Os Guinness has captured this middle-class revulsion against materialism and affluent decadence in his best-selling book The Dust of Death ( 1973 ) .
surprise,"Taking advantage of Guy 's momentary stupefaction , she wriggled out from under him and leapt off the bed , everything forgotten but the need to escape from something she dared not put a name to . "
shame,"The most uncomfortable part now is the interviews , because I ca n't put on an act , particularly on TV , I get really embarrassed seeing myself . "
anger,"Scientists , on both sides of no-man 's land , become bitterly indignant when someone points such external influences out to them . "
surprise,"Julia , stunned but dry-eyed , had given her statement to the police . "
surprise,Now as he strode north determined on its recovery he was ashamed and astonished at his own folly .
sad,"At first I could not understand -- but then when she had , whispering , explained properly , I was filled with a desolate , despairing horror . "
sad,"Since many parents were miserable at being separated from their offspring and it would be a struggle for some to pay money for their misery , they finally decided to have them home again . "
sad,Gabriel forgot his own sadness when he saw the bitterness and deep despair on the farmer 's face .
anger,"I think he was in a hurry and was cross about being stopped , "" said an eyewitness . "
sad,"It was a pretty despondent group that sat around the fire of the LRDG patrol , each sunk in his own thoughts . "
surprise,"Quick -- sign the register , get out , escape from the puzzlement in her eyes . "
shame,"They might have been in the private wing , put away by their guilty and embarrassed families . "
disgust,"You arrest somebody , maybe a drunk , the next day he 's feeling a little disgruntled and almost inevitably he 'll make a complaint "
fear,Successive state elections have seen the governing parties pummelled by a dismayed electorate .
disgust,"A Swedish couple and a German guy sitting near me were on their feet , that sickened expression on their faces too . "
disgust,"Now the special envoy of the UN High Commissioner for Refugees , Jose-Maria Mendiluce , says he is revolted to hear those words from Mr Boban . "
sad,Surely someone somewhere knows who killed Ann Heron and that person could ease the pain for her heartbroken family .
anger,"Under de Gaulle , therefore , the Information Minister was a Broadcasting Minister -- to whom the head of state sometimes expressed , day by day , his anger with the content of news and current affairs programmes . "
anger,"She disliked the intimacy he showed towards some of them , was resentful of the memories they shared of which she was not a part , and felt excluded . "
happy,"Returning to the campuses in a state of excitement , they sensed victory over the authorities , but had to secure the release of their arrested colleagues . "
disgust,"Revulsion at injustice , poverty and denied opportunity , he says , impels people to work for a better world . "
surprise,John Lahr told me of his astonishment at how unpleasant he could be to waiters at the Indian restaurant they visited together .
surprise,Had witnessed her puzzlement and then her shocked surprise as she realised what it was .
happy,"` They take young grandpas , "" said Linda , amazed and overjoyed he 'd had the idea for himself and still not able to get over her daughter 's news . "
happy,"I 'm really happy in the group now . "" "
surprise,"In front of stunned mourners he told grieving widow Linsay Robinson to ` pay up or else "" . "
anger,Yet she still finds herself full of frustration and anger towards him .
surprise,"I am stunned to find him so fine and ruddy in the startling , bleak white of this room ; so handsome in the face of my decay , my washed-out skin and faded eyes , my smears of blood and perspiration . "
fear,Do n't look so horrified !
shame,"` Now you are mocking me , "" Vologsky murmured , with a slightly embarrassed smile . "
sad,Lady Cross 's family was too grief-stricken to attend the trial .
anger,My annoyance at missing the fish turns to relief when I realise I am not snagged in the roots .
fear,"If I mention our separate sleeping arrangements to friends , they are horrified . "
disgust,"The Leader of the House , G V Wright , expressed revulsion at the shocking act of IRA terrorism . "
surprise,"Except the O'Neil family in the first row of the circle , who sat in stupefied amazement , hardly believing what they had witnessed . "
fear,His comments are a major diplomatic gaffe as the CRC has supported the region in its disquiet over the CRE 's decision to begin an investigation .
anger,"I dare say a few prize juries might be peeved at having their judgment queried , too . "
surprise,"He must have managed to purloin a copy of the house key from somewhere and was obviously astounded to find someone already scouring the house , especially her . "
happy,"The dog , delighted at last to have some attention paid to it , raced ahead , scenting rabbits , his great tail pluming . "
fear,Rachel and her mother looked agitated .
surprise,He looked down at her astonished face with darkly angled brows .
sad,"Joseph , unable to follow the French , waited in anguish , not knowing what was being said . "
disgust,"As she turned to walk on she shivered , affected by a chilliness that seemed to be an expression of her revulsion . "
sad,Nigel became despondent but I did n't .
fear,His two thumbs rotated about one another as they always did when he was agitated and looking for a way to strike .
anger,You may find your exasperation turns to inspiration
surprise,"` About what , dear ? "" she asked in a startled voice . "
surprise,"At first , she was utterly bewildered when he burst out laughing . "
anger,There is always a moment in time when we can make a decision whether or not to vent our anger .
fear,"The Government have expressed their horror at such attacks on the police , but they also need to act . "
surprise,AN OXFORDSHIRE reader expresses astonishment that so many of the hotels featured in this column border on Fawlty Towers .
surprise,"He added : ` I 'm astounded he has not been on the fringe of the Dutch team . "" "
anger,"He ignored the affronted expression that crossed Isabel 's face at this sardonic rejoinder , and continued . "
shame,"Deeply ashamed of my wayward notions , I tried my best to contradict myself . "
shame,"It was less that I was too proud , more that I was too embarrassed . "
fear,This caused a good deal of consternation and dismay in Westminster .
sad,"It was , however , obvious that there was some deep sadness within him . "
disgust,We therefore have a clashing interest of views over whether to feel sympathy or revulsion about Blanche .
shame,"This is not a problem at Center Parcs , where everyone else is so inept that you are embarrassed to show them up . "
shame,"Nobody doubted him , or failed to recognise his temporary financial embarrassment . "
shame,"` I 'm embarrassed at the way it 's playin' up . "" "
sad,"But one day when the lord was off hunting the fox said : "" Friends , we are all happy and contented , but our master sometimes seems rather sad and downcast . "
surprise,"But when I got to be twenty-one , I was astonished at how much he had learned in seven years . "
anger,"ICC chairman Sir Colin Cowdrey ( left ) is clearly furious that every time he has been ready to make a statement about the Texaco Trophy events of August 23 , Pakistan 's lawyers have threatened writs . "
happy,I remember my feeling of elation when I climbed aboard the train .
fear,They looked like a crowd of frightened children .
sad,Tennyson discloses that the setting of Mariana is in Shakespeare 's Measure for Measure where the dejected Mariana resides alone in a moated grange .
sad,Determinedly she put her worries and the root cause of her despondency behind her and tried to think more cheerfully .
fear,"The message was clear as members of Gloucestershire county council turned up to todays budget meeting , with protestors , anxious over the scale of impending cuts urging councillors to think again before wielding the axe . "
happy,"Expressing his delight at being appointed , he said : ` This is the one job I had hoped for . "" "
happy,The contrast with her exhilaration on the frozen lake had come so swiftly .
disgust,"What a visiting Londoner sees as the soaring grandeur of New York , a fed-up New Yorker sees as sunlight deprivation . "
happy,"Gleeful opposition leaders and Tory Euro-sceptics said the Government 's handling of Maastricht had descended into ` shambles "" . "
sad,"` Let me in for I am cold and desolate and hungry . "" "
fear,` Those poor little girls must be frightened out of their minds !
sad,She looked into his eyes and saw terrible pain and inconsolable grief .
sad,"` Ma , "" he said in a tentative tone of voice , his face going slowly pink with the strain of trying to communicate with his despondent parent . "
shame," Sometimes I've thought I 'll never forget what happened  it all comes back and I feel guilty , or  or dirty , or humiliated and bitter "
happy,The delight at being finally united with Joan was tempered by a feeling of discomfort about Ronnie Leahy .
sad,"With her long hair drooping round her face and her large , mournful eyes , she looked like a lost basset-hound puppy . "
anger,"She was acting like some idiotic schoolgirl , not an intelligent woman , she thought in exasperation . "
happy,"Mrs Thatcher has mastered the sound-bite , to be repeated at intervals like a mantra : ` So very pleased with how it 's going . "" "
sad,The glum look on his face was probably normal .
fear,"It could well become agitated at the dispersal of the pigeons , turn its head towards the lights , and bark heatedly at the roadworkers . "
anger,"People were very angry when Admiral Byng failed to attack the French at Minorca , and the decision to execute him for cowardice was exactly what the public wanted . "
disgust,It is unfortunate that such considerations may be thrust out of view by continuing public -- and perhaps personal -- revulsion towards the concept of child sexuality .
surprise,"And having made the mistake a bird seldom gets a second chance , for the startled butterfly takes off , not in the direction the bird might have expected but , apparently , backwards . "
surprise,"The boy bowed again , enjoying her astonishment in the same way he had enjoyed the applause of the T'ang earlier that day when he had played Tsu Tiao . "
fear,There was widespread disquiet in the media and elsewhere .
fear,"` I 'm gratified to find you so concerned for my welfare , Li Yuan . "
surprise,"Before she could utter the cry of alarm which rose in her throat his hand had closed over her mouth , and Paige 's startled eyes blinked at him over the top . "
shame,I was a bit embarrassed about that .
surprise,` At first I was too flabbergasted to do anything .
sad,He felt increasingly irritated and despondent .
disgust,The disgruntlement among its two million members is almost palpable .
sad,Women traditionally show their grief more than men .
anger,"They were cross with each other because of him , and now Nanny was saying bad things about Smallfry that would make Buddie very , very angry . "
surprise,Maggie was quite astonished at her own determination on that score .
shame,She was simply embarrassed at being revealed to the public .
happy,"But he was confronted by an ecstatic welcome from his mother , who was waiting for him on the doorstep . "
sad,"` I only hope you 're right ! "" he said in anguished tones . "
shame,"Afterwards , she had been annoyed by her reaction and ashamed of her cowardice . "
happy,"` Everyone seemed very pleased with the arrangements Philippe had made , did n't they , Rose ? "" "
disgust,"They can be happy and cheerful but they can also get fed-up , frustrated , angry , disappointed and hurt inside -- just like real people . "
anger,"Laura 's normally full , warm lips tightened with annoyance . "
disgust,"County had lost six of their last eight League games at the Baseball Ground , which had prompted disgruntled supporters to call for the resignation of manager Arthur Cox . "
happy,"I was responsible for Community Programme for the last 18 months of its life , so I 'm delighted to be involved in introducing Community Action . "
happy,"He 's a very contented baby , a joy to his parents and big sister , and today at nine weeks old ( 40+3 ) , he smiled at us for the first time . "
fear,An agitated old lady addressed Ramsey severely and asked why he did not go back to his own country and do good there instead of stirring up trouble in the United States .
shame,I could tell from the blank embarrassment in Tom 's expression that she had not acknowledged him .
anger,"If Russia was miffed about the membership plans , other East European nations were delighted ."
surprise,"Benny looked around him , a bewildered expression on his face . "
happy,"The advertisements appeared in Novoye Russkoye at the weekend , causing a buzz of excitement in the Soviet expatriate enclave of Brighton Beach , also known as Little Odessa . "
surprise,"` I 'm astonished at what you 've achieved , Kitty . "
sad,From the despair in the parson 's eyes the doctor saw that this remedy had already been tried to no avail .
disgust,Lord Beddington was somewhat disgruntled .
anger,"Not everybody wants   and trailed into silence , for Lily 's eyelids were now fluttering , holding back offended tears . "
happy,"The simple , laughing islanders subsequently worshipped it as a god , much to the amusement of their more sophisticated neighbours . "
happy,Todd showed delight in simple songs and reverence when invited to pray .
shame,Milton took pity on his embarrassed friend .
sad,Her emotion this time was not prompted by grief for her mother -- but by the seriousness of the moment .
anger,"Last night Mr Smith said : ` We are mad with this programme , and especially with Barth . "
shame,"Deeply ashamed of my wayward notions , I tried my best to contradict myself . "
fear,I saw the frightened horses on the edge of a steep drop .
sad,"` I am sad we have not been afforded the same welcome given to the Beirut hostages , "" he told a deeply moved audience at the AGM last month . "
happy,Lesley was totally happy about it .
disgust,The disgruntlement among its two million members is almost palpable .
disgust,"Now fed-up locals want the name of their quiet cul-de-sac in Studley , Warwickshire , changed -- unless BBC chiefs drop the flop of a show first . "
disgust,"Floy and Snodgrass , unable to look away , were sickened and awed . "
sad,"Too much , it seemed to me , was made of Tom 's grief : his courtship of Araminta was forward-looking , and deep grief needs roots in the past . "
shame,He could n't take home business associates for dinner because he was embarrassed for them to see you .
sad,Following this there was considerable despondency amongst the committee as there seemed to be little hope for the future .
shame,"On this occasion , satygraha involved imprisonment of thousands of Indians , much to the embarrassment of the Union Government of South Africa . "
anger," You 're not  vexed , are you ?  he asked incredulously . "
surprise,"And she did , leaving a very bewildered Ellie to look round her at the well-equipped kitchen and the gently steaming kettle . "
fear,One horrified look told him that Daisy had already sunk to her pasterns .
surprise,"Michael frowned at him , bewildered . "
anger,Michelle did not raise her head from Tess 's shoulder and the resentful words were muffled .
shame,"` As I get older I think more and more of my stomach , and I 'm not ashamed to admit it . "
shame,"A little ashamed of losing her self-control so completely , she dashed a hand across her eyes and glared up at him . "
disgust,"A statement was issued from Ibrox yesterday detailing the unsatisfactory nature of the dealings with Bernard Tapie 's club , while expressing regret that there was nothing more Rangers could do on behalf of their now disgruntled fans . "
anger,One career wife spoke about her exasperation when her husband listened to her with half an ear as he watched television .
disgust,"Now the special envoy of the UN High Commissioner for Refugees , Jose-Maria Mendiluce , says he is revolted to hear those words from Mr Boban . "
happy,A look of intense amusement crossed Catherine 's face .
disgust,"` Everybody in this town , including the stuffed seagull shop , seems to reckon they can sell books , "" said a disgruntled Mr Coward . "
anger,"This time , with deepening anger on the streets over price liberalisation , the hardliners were not to forgo their chance . "
sad,Wenner would fly in to issue instructions to an increasingly disconsolate staff and Jagger would pay the bills .
fear,She was getting agitated .
disgust,Sam was thoroughly disgruntled because the boy from the bistro had failed to appear .
shame,It was then that I decided to drop a note through Carla 's letterbox rather than cope with the embarrassment of a phone call .
anger,"Two could play the same game , and the Russian was now riled . "
sad,"` I am heartbroken because football has been my whole life . "" "
shame,This may all sound very trivial but it has the effect of making me almost hate my body to the extent that I feel ashamed to let John see me naked .
anger,He dipped the cotton wool in the water and dabbed at the livid puffy eyes .
surprise,She was totally nonplussed .
sad,He could see no way out and in his anguish he began to think of doing himself in ; the method he would use would have to be quick and simple .
happy,"I feel excited when I come up with something that I can have Jack to help me with , I 'm always ready to hear what he has . "
shame,"` She 's just dying of embarrassment . "" "
anger,"It was , I thought , a measure of her self-control that she had waited until now to express her annoyance . "
disgust,"It linked the poor performance with the exodus to the West of more than 330,000 East Germans disgruntled with Communism . "
anger,"If she did n't know him better , she would have said he was cross with her . "
happy,You ca n't get very excited when she brings home half-price loo rolls and stale cough sweets .
fear,Agony ` I had no time to feel nervous about facing Steve Bull and Andy Mutch .
anger,"For the Opposition , Sam Galbraith said he was particularly angry that the Government was reneging on the ballot subsidy . "
surprise,"Anne watched her for a few moments in stunned silence , trying to decide if she meant what she had said . "
sad,"I was miserable with cold , but although I was prepared to admit that I was miserable , I was n't prepared to admit that my misery had any connection with cold . "
happy,Guinness is particularly pleased that its own employees can participate in these programmes through matched giving schemes .
surprise,He was astonished at the change in him .
